opq_vec
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
3
4
5
6
7
8
9
10
11
12
13
14
14
11
12
12
12
11
11
10
11
5
5
5
4
5
1
4
17
30
30
31
32
33
34
35
36
37
38
39
5
34
38
37
36
35
38
37
1
28
19
39
4
1
40
41
35
27
16
38
39
38
39
38
36
38
1
28
7
33
37
33
1
32
32
37
28
1
29
25
1
36
36
37
36
35
1
36
36
35
32
35
34
34
35
36
37
1
34
33
28
1
1
26
26
1
1
28
1
28
1
31
36
36
34
23
33
1
33
31
1
38
38
1
26
15
39
34
2
39
38
33
33
1
30
1
24
36
24
1
36
37
1
35
36
34
32
1
37
1
1
36
1
24
15
1
13
1
2
23
21
1
30
25
1
1
21
5
34
35
36
37
1
37
36
1
36
36
1
1
37
22
1
0
36
37
1
11
3
0
35
37
34
0
38
11
5
39
38
39
1
37
15
36
5
1
36
1
1
36
36
31
36
37
6
36
7
35
35
1
34
35
34
25
33
32
23
19
18
16
36
8
31
29
27
35
36
31
1
35
36
1
1
34
22
1
1
33
34
32
31
30
1
37
36
1
1
36
24
1
1
30
21
20
10
6
37
29
1
1
37
31
30
1
23
20
18
16
39
38
35
34
37
37
36
15
32
28
25
1
1
38
39
1
38
31
1
1
38
21
1
39
40
41
40
32
16
1
40
1
32
18
1
31
10
1
27
10
19
1
28
1
31
23
20
28
1
1
40
0
40
32
39
32
1
33
15
40
34
1
37
25
1
34
1
32
28
27
1
35
35
13
1
2
33
26
21
21
35
11
33
35
35
1
35
30
1
15
35
1
35
35
10
36
35
8
7
35
1
34
29
0
1
1
34
1
1
33
31
31
1
32
27
1
1
32
3
1
2
33
32
33
1
32
1
32
32
31
31
31
31
29
17
17
14
12
12
11
1
30
1
1
2
21
18
13
1
1
29
25
1
1
28
1
1
30
30
30
1
1
30
30
30
31
32
32
33
1
31
31
31
31
31
32
33
34
2
32
1
1
1
1
32
33
22
5
31
31
32
32
1
19
30
34
34
8
7
2
1
34
34
15
8
34
35
36
12
1
1
35
31
32
26
1
35
36
1
1
1
36
1
1
1
35
34
1
35
30
1
34
28
1
1
1
32
31
1
33
34
33
33
33
1
32
24
1
1
1
33
32
29
8
1
2
33
1
1
33
33
33
1
33
1
31
28
21
1
30
25
1
1
2
31
32
1
2
31
31
14
7
6
32
32
9
31
30
30
1
1
30
28
1
1
29
28
29
1
11
31
30
31
1
1
1
29
1
0
31
31
31
31
1
4
30
3
1
1
31
32
32
1
1
31
1
31
32
33
1
31
1
29
22
1
1
1
27
23
1
1
1
1
30
28
1
2
29
28
27
21
1
2
29
28
29
1
1
1
1
28
24
1
1
26
23
23
20
16
14
1
1
29
1
1
1
2
3
2
2
28
28
21
1
27
28
27
25
23
18
15
11
1
1
30
1
1
29
25
27
22
17
24
1
2
2
2
2
14
14
14
15
16
15
15
14
11
11
10
7
6
6
5
6
7
8
9
8
8
8
1
15
1
1
1
1
2
2
2
2
2
1
0
1
2
1
12
17
17
18
19
20
20
20
5
4
5
5
4
3
3
2
2
16
17
18
